longitude,latitude,timestamp
103.89596,1.32649,2019-08-30 08:48:58.000
103.89661,1.32581,2019-08-30 08:48:58.000
103.89759,1.33349,2019-08-30 08:48:58.000
103.89804,1.35894,2019-08-30 08:48:58.000
103.89819,1.3303,2019-08-30 08:48:58.000
103.89824,1.32982,2019-08-30 08:48:58.000
103.89837,1.33206,2019-08-30 08:48:58.000
103.8995,1.33448,2019-08-30 08:48:58.000
103.9012,1.32588,2019-08-30 08:48:58.000
103.90174,1.33814,2019-08-30 08:48:58.000
103.90235,1.32542,2019-08-30 08:48:58.000
103.90289,1.31998,2019-08-30 08:48:58.000
103.90307,1.33677,2019-08-30 08:48:58.000
103.90341,1.32156,2019-08-30 08:48:58.000
103.90499,1.32138,2019-08-30 08:48:58.000
103.90504,1.31827,2019-08-30 08:48:58.000
103.90522,1.33,2019-08-30 08:48:58.000
103.90572,1.33443,2019-08-30 08:48:58.000
103.90758,1.33162,2019-08-30 08:48:58.000
103.91188,1.33284,2019-08-30 08:48:58.000
103.91826,1.33195,2019-08-30 08:48:58.000
103.92304,1.32317,2019-08-30 08:48:58.000
103.92313,1.32557,2019-08-30 08:48:58.000
103.92314,1.32779,2019-08-30 08:48:58.000
103.93097,1.36632,2019-08-30 08:48:58.000
103.93101,1.36439,2019-08-30 08:48:58.000
103.93195,1.37602,2019-08-30 08:48:58.000
103.93414,1.37985,2019-08-30 08:48:58.000
103.93418,1.38015,2019-08-30 08:48:58.000
103.93708,1.37799,2019-08-30 08:48:58.000
103.93742,1.37771,2019-08-30 08:48:58.000
103.93941,1.3735,2019-08-30 08:48:58.000
103.94087,1.38265,2019-08-30 08:48:58.000
103.94092,1.37503,2019-08-30 08:48:58.000
103.94153,1.38219,2019-08-30 08:48:58.000
103.94367,1.37807,2019-08-30 08:48:58.000
103.94483,1.36778,2019-08-30 08:48:58.000
103.94488,1.37289,2019-08-30 08:48:58.000
103.94537,1.36378,2019-08-30 08:48:58.000
103.95233,1.36875,2019-08-30 08:48:58.000
103.95421,1.36519,2019-08-30 08:48:58.000
103.95689,1.36886,2019-08-30 08:48:58.000
103.95774,1.36867,2019-08-30 08:48:58.000
103.95844,1.36687,2019-08-30 08:48:58.000
103.9596,1.36307,2019-08-30 08:48:58.000
103.96064,1.37214,2019-08-30 08:48:58.000
103.96083,1.37524,2019-08-30 08:48:58.000
103.96117,1.37308,2019-08-30 08:48:58.000
103.9615,1.37964,2019-08-30 08:48:58.000
103.96374,1.37169,2019-08-30 08:48:58.000
103.96415,1.36923,2019-08-30 08:48:58.000
103.96418,1.36916,2019-08-30 08:48:58.000
103.96426,1.36912,2019-08-30 08:48:58.000
103.96451,1.36864,2019-08-30 08:48:58.000
103.96537,1.36795,2019-08-30 08:48:58.000
103.96564,1.3647,2019-08-30 08:48:58.000
103.96697,1.36606,2019-08-30 08:48:58.000
103.96714,1.36619,2019-08-30 08:48:58.000
103.96718,1.36624,2019-08-30 08:48:58.000
103.96728,1.36641,2019-08-30 08:48:58.000
103.96728,1.37053,2019-08-30 08:48:58.000
103.96789,1.37007,2019-08-30 08:48:58.000
103.96988,1.37062,2019-08-30 08:48:58.000
103.97102,1.37268,2019-08-30 08:48:58.000
103.9726,1.3855,2019-08-30 08:48:58.000
103.9729,1.37453,2019-08-30 08:48:58.000
103.97314,1.375,2019-08-30 08:48:58.000
103.88687,1.33549,2019-08-30 08:29:57.000
103.88723,1.32767,2019-08-30 08:29:57.000
103.887315166667,1.3245855,2019-08-30 08:29:57.000
103.888529666667,1.3565835,2019-08-30 08:29:57.000
103.88853,1.3193,2019-08-30 08:29:57.000
103.89034,1.35184183333333,2019-08-30 08:29:57.000
103.89071,1.32558,2019-08-30 08:29:57.000
103.89134,1.34277,2019-08-30 08:29:57.000
103.891474983333,1.35081095,2019-08-30 08:29:57.000
103.891986833333,1.3402515,2019-08-30 08:29:57.000
103.89202,1.36141,2019-08-30 08:29:57.000
103.893091333333,1.33355966666667,2019-08-30 08:29:57.000
103.893626,1.36207633333333,2019-08-30 08:29:57.000
